# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
11 Com b,19.4,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2008,8/21/2015,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,296.7,5.6,5.6,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 Com,185.1791667,17.7927778,4.74,,,,,110.6,-0.35,2.7,19,G8 III,,4742,,
11 UMi b,10.5,2.47,2.47,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,8/13/2009,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340,,
14 And b,5.33,0.57,0.57,,,,185.84,0.23,0.23,0.83,,,0,,,,,,0.010864,2008,8/27/2014,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 And,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11,K0III,,4813,,
14 Her b,4.64,0.19,0.19,,,,1773.4,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,,,,0.153039,2002,8/27/2014,22.6,0.9,0.9,2451372.7,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311,,
16 Cyg B b,1.68,0.07,0.07,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,8/27/2014,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8,5766,,
18 Del b,10.3,,,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008,8/27/2014,166.1,6.5,6.5,2451672,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,18 Del,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979,,
1RXS 1609 b,14,3,2,1.7,,,,,,330,0,0,,,,,,,2.275862,2008,3/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,4,Published in a refereed paper,Imaging,,,RXJ 1609; 1RXS J1609-2105b; 1RXS J1609b; 1RXS J160929.1-210524 b,H2O; CO; K,1RXS1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145,,0.73,1.35,K7V,0.011,4060,,
1SWASP J1407 b,20,6,6,,,,3725,900,900,3.9,1.7,1.7,,,,,,,,2012,10/29/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.95,-39.76194447,12.4,,,,,133,,0.9,0.99,,0.016,4400,,
24 Sex b,1.99,0.38,0.26,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,5/23/2014,9.2,165.4,277.9,2454762,172.3,172.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098,,
24 Sex c,0.86,0.22,0.35,,,,883,14,32,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,5/23/2014,220.5,320.9,182.2,2454930,96.5,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098,,
2M 0103(AB) b,13,1,1,,,,,,,84,,,,,,,,,,2013,7/22/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0103(AB),15.9,-55.2656,,,7.5,,,47.2,,0.4,,M,0.03,,,
2M 0122-2439 b,20,7,7,1,0.2,0.2,,,,52,6,6,,,,,,,,2013,4/29/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,,,,,Published in a refereed paper,Imaging,,,,,2M 0122-2439,20.7125,-24.6142,,,,,,36,,0.4,,M3.5,0.12,,,
2M 0219-3925 b,13.9,1.1,1.1,1.44,0.03,0.03,,,,156,10,10,,,,,,,,2015,6/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-3925,34.84166667,-39.42305557,,,,,,39.4,,0.11,0.27,M6,,3064,,
2M 044144 b,7.5,2.5,2.5,,,,,,,15,0.6,0.6,,,,,,,0.107143,2010,4/6/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 044144,70.4375,23.0308333,,,14.2,13.72,13.16,140,,0.02,,M8.5,0.001,,,
2M 0746+20 b,30,25,25,0.97,0.06,0.06,4640,25,25,2.897,0.005,0.005,0.487,0.003,0.003,138.2,0.5,0.5,0.237265,2010,1/20/2012,354.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,,0.12,0.089,,,2205,,
2M 1936+4603 b,1.9,0.1,0.1,,,,416,2,2,0.92,0.02,0.02,,,,,,,,2015,4/21/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,TTV,,,,2M  1938+4603,294.6375,46.0663889,,,,,,,,0.6,,sdB+M,,,,
2M 2140+16 b,20,20,80,0.92,0.39,0.39,7340,584,584,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,1/20/2012,223,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25,,0.08,0.1,,,2300,,
2M 2206-20 b,30,20,70,1.3,0.18,0.18,8686,69.4,69.4,4.48,0.4,0.4,0,,,44.3,0.7,0.7,0.167979,2010,1/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,,0.13,0.11,,,2350,,
2M1207 b,4,1,1,,,,,,,46,5,5,,,,,,,0.877863,2004,5/25/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M1207,181.8875,-39.5483333,20.15,15.95,13,,,52.4,,0.025,,M8,0.008,,,
30 Ari B b,9.88,0.94,0.94,,,,335.1,2.5,2.5,0.995,0.012,0.012,0.289,0.092,0.092,,,,0.025254,2009,11/27/2009,307,18,18,2454538,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.4,0.12,1.22,1.23,F6V,0.91,6484,,
4 Uma b,7.1,1.6,1.6,,,,269.3,1.96,1.96,0.87,0.04,0.04,0.432,0.024,0.024,,,,0.011083,2007,8/27/2014,23.81,4.42,4.42,2452987.394,4.31,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,4 Uma,130.0541667,64.3280556,5.79,,,,,78.5,-0.25,1.234,,K1III,4.604,4415,,
42 Dra b,3.88,0.85,0.85,,,,479.1,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,,,,0.01223,2009,3/23/2009,218.7,10.6,10.6,2452757.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,-0.46,0.98,22.03,K1.5III,9.49,4200,,
47 Uma b,2.53,0.06,0.07,,,,1078,2,2,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,8/27/2014,334,23,23,2451917,76,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
47 Uma c,0.54,0.073,0.066,,,,2391,87,100,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,8/27/2014,295,160,114,2456441,825,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
47 Uma d,1.64,0.48,0.29,,,,14002,5095,4018,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,8/27/2014,110,160,132,2451736,5051,6783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
51 Eri b,7,5,5,,,,14965,4380,12775,14,3,7,0.21,0.15,0.15,138,13,15,,2015,10/16/2015,90,58,58,2452014.79,12,12,,,,,,,,,,,,,,,,,,,,,,700,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,CH4; H2O,51 Eri,69.40055143,-2.473548598,5.223,,,,,29.4,-0.027,1.75,,F0IV,0.02,,IR Excess,
51 Peg b,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.73E-05,3.73E-05,0.052,,,0.0069,0.0066,0.0069,80,10,19,0.003537,1995,4/6/2015,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497,0.022,0.022,55.65,0.53,0.53,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,H2O; CO,51 Peg,344.3625,20.7686111,5.49,,,,,14.7,0.2,1.11,1.266,G2 IV,4,5793,,
55 Cnc b,0.8,0.012,0.012,,,,14.651,0.0001,0.0001,0.1134,0.0006,0.0006,0.0159,0.008,0.008,,,,0.009303,1996,8/29/2012,164,,,2453035,2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc c,0.169,0.008,0.008,,,,44.3446,0.007,0.007,0.2403,0.0017,0.0017,0.053,,,,,,0.019473,2002,6/7/2011,57.4,11,11,2449989.339,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc d,3.835,0.08,0.08,,,,5218,230,230,5.76,0.06,0.06,0.025,0.03,0.03,53,6.8,6.8,0.466775,2002,6/7/2011,181.3,32,32,2452500.6,230,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc e,0.026177516,0.001227071,0.001227071,0.177536225,0.007137135,0.007137135,0.7365417,2.80E-06,2.80E-06,0.0156,0.00011,0.00011,0.06,inf,nan,85.4,2.8,2.1,0.001264,2004,6/27/2014,170,130,130,2449999.836,0.0001,0.0001,,,,2455962.07,0.0018,0.0018,,,,72.4,12,12,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc f,0.144,0.04,0.04,,,,260.7,1.1,1.1,0.781,0.006,0.006,0.0002,,,,,,0.06329,2007,6/7/2011,205,60,60,2450080.911,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
6 Lyn b,2.4,,,,,,899,19,19,2.2,,,0.134,0.052,0.052,2,1,79,0.038664,2008,8/27/2014,27,27,27,2453309,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,-0.13,1.7,5.2,K0IV,,4978,,
61 Vir b,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5.00E-06,5.00E-06,0.12,0.11,0.11,,,,0.005892,2009,12/15/2009,105,54,54,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
61 Vir c,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,12/15/2009,341,38,38,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
61 Vir d,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,12/15/2009,314,20,20,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
7 CMa b,2.46,0.14,0.14,,,,796,7.4,7.4,1.93,0.01,0.01,0.22,0.07,0.07,,,,0.096203,2011,10/19/2015,77,14,14,2454093,34,34,,,,,,,,,,,,,,,,,,,41.8,2.4,2.4,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 47205 b,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.21,1.52,2.3,K1 III,,4792,,
70 Vir b,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,12/29/2010,2.1,2,2,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir,202.1083333,13.7866667,5,,,,,22,-0.11,0.92,1.968,G4 V,7.09,5432,IR Excess,
75 Cet b,3,,,,,,691.9,3.6,3.6,2.1,,,,,,,,,,2012,9/3/2012,,,,2452213,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,75 Cet,38.0375,-1.035,5.36,,,,,81.5,0,2.49,10.5,G3III,,4846,,
8 Umi b,1.5,0.2,0.2,,,,93.4,4.5,4.5,0.49,0.03,0.03,0.06,0.18,0.18,,,,,2015,10/1/2015,91,84.6,84.6,2454108.5,22.8,22.8,,,,,,,,,,,,,,,,,,,46.1,4,4,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,8 Umi,224.2,74.90083335,6.83,,,,,159.1,-0.03,1.8,9.9,K0,1.7,4847.4,,
81 Cet b,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,0.02572,2008,8/27/2014,175,6.9,6.9,2452486,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.2,-0.06,2.4,11,G5III,,,,
91 Aqr b,3.2,,,,,,181.4,0.1,0.1,0.7,,,0.027,0.026,0.026,,,,0.006593,2003,8/21/2015,177.3,0.8,0.8,2453472.1,24,24,,,,,,,,,,,,,,,,,,,91,2.3,2.3,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.9,-0.03,1.4,11,K0 III,3.56,4665,,
AB Pic b,13.5,0.5,0.5,,,,,,,275,,,,,,,,,5.813953,2005,12/6/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,-0.64,,,K2 V,0.03,4875,,
Aldebaran b,6.47,0.53,0.53,,,,628.96,0.9,0.9,1.46,0.27,0.27,0.1,0.05,0.05,,,,0.1,1998,5/15/2015,287,29,29,2451297,50,50,,,,,,,,,,,,,,,,,,,142.1,7.2,7.2,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.43,-0.27,1.13,45.1,K5III,6.6,4055,,
BD +48 738 b,0.91,,,,,,392.6,5.5,5.5,1,,,0.2,0.1,0.1,,,,,2011,8/27/2014,358.9,31.1,31.1,2454457.2,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD +48 738,40.7083333,49.5869444,9.14,,,,,,-0.2,0.74,11,K0III,,4414,,
BD+15 2940 b,1.11,,,,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,,2013,4/30/2013,302,33,33,2453464,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+15 2940,240.0958,15.5469,9.19,,,,,585,0.28,1.1,14.7,K0,7.1,4796,,
BD+20 274 c,4.2,,,,,,578.2,3.4,3.4,1.3,,,,,,,,,,2012,1/17/2013,,,,2453920.5,33.2,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 274,25.9208333,21.005,9.36,,,,,,-0.46,0.8,17.3,K5,,4296,,
BD+49 828 b,1.6,0.2,0.4,,,,2590,180,300,4.2,0.2,0.32,0.35,0.1,0.24,,,,,2015,7/26/2015,170,32,32,2455470,170,200,,,,,,,,,,,,,,,,,,,18.8,2,6.2,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+49 828,45.64166668,49.73000003,9.38,,,,,,-0.19,1.52,7.6,KO,2.3,4943,,
BD-061339 b,0.027,0.004,0.004,,,,3.8728,0.0004,0.0004,0.0428,0.0007,0.0007,0,,,,,,,2013,2/12/2014,,,,2455220.5,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD-061339,88.25,-5.9947,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-061339 c,0.17,0.03,0.03,,,,125.94,0.44,0.44,0.435,0.007,0.007,0,,,,,,,2013,2/12/2014,,,,2455264.2,17.6,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD-061339,88.25,-5.9947,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-082823 b,0.045,0.007,0.007,,,,5.6,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,,,,0.001327,2009,12/15/2010,30,100,100,2454637.7,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD-082823,150.2,-9.5166667,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746,,
BD-082823 c,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,,,,0.016114,2009,12/16/2009,127,21,21,2454193,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,BD-082823,150.2,-9.5166667,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746,,
BD-10 3166 b,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2/24/2015,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66,0.5,0.99,1.71,G4 V,4.18,5400,,
BD-114672 b,0.53,0.05,0.05,,,,1667,33,33,2.28,0.07,0.07,0.05,0.05,0.05,,,,0.091575,2010,1/8/2015,,,,2455899,38,46,,,,,,,,,,,,,,,,,,,13.4,1,1,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-114672,278.3708333,-11.63611113,10.02,,,,,27.3,-0.48,0.571,0.52,K7V,4.4,4475,,
BD-17 63 b,5.1,0.12,0.12,,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,,,,0.038728,2008,8/27/2014,112.2,1.9,1.9,2454627.1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,-0.03,0.74,0.69,K5V,4.3,4714,,
BD14 4559 b,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,,,,0.01554,2009,8/27/2014,87.64,7.87,7.87,2453294.21,6.35,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD14 4559,318.4,14.6894444,9.63,,,,,50,0.1,0.86,,K2V,,5008,,
BD20 2457 b,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,,,,0.00725,2009,8/27/2014,207.64,21.99,21.99,2454677.53,28.19,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD20 2457,154.1875,19.8913889,9.75,,,,,200,-1,2.8,,K2II,,4127,,
BD20 2457 c,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,,,,0.01005,2009,8/27/2014,126.02,16.54,16.54,2453867.45,27.99,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD20 2457,154.1875,19.8913889,9.75,,,,,200,-1,2.8,,K2II,,4127,,
CD-35 2722 b,31,8,8,,,,,,,67,4,4,,,,,,,3.14554,2011,2/23/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.33004292,-35.82533225,10.98,,,,,21.3,0.04,0.4,,M1V,0.1,3680,,
CFBDS 1458 b,6.5,4.5,4.5,,,,14600,8800,8800,2.6,0.2,0.2,,,,,,,0.112554,2011,9/28/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,23.1,,0.024,,T9.5,3,540,,
CHXR 73 b,12,5,8,,,,,,,200,,,,,,,,,,2006,5/25/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,0.35,,M3.25,0.002,,,
CT Cha b,17,6,6,2.2,0.6,0.6,,,,440,,,,,,,,,2.666667,2008,9/24/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165,,,,K7,0.002,,,
CoRoT-1 b,1.03,0.12,0.12,1.49,0.08,0.08,1.5089557,6.40E-06,6.40E-06,0.0254,0.0004,0.0004,0,,,85.1,0.5,0.5,5.50E-05,2007,1/24/2014,,,,,,,,,,2454159.453,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460,0.06,0.95,1.11,G0V,,6298,,
CoRoT-10 b,2.75,0.14,0.14,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,8/29/2014,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.344,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345,0.26,0.89,0.79,K1V,3,5075,,
CoRoT-11 b,2.33,0.27,0.27,1.43,0.033,0.033,2.994325,2.10E-05,2.10E-05,0.04351,0.00036,0.00036,0,,,81.41,0.17,0.17,7.80E-05,2010,8/17/2014,,,,,,,,,,2454597.68,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560,0.04,1.56,1.36,F6V,2,6343,,
CoRoT-12 b,0.917,0.065,0.07,1.44,0.13,0.13,2.828042,1.30E-05,1.30E-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.50E-05,2010,8/16/2014,105,27,27,,,,,,,2454398.627,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150,0.16,1.078,1.116,G2V,6.3,5675,,
CoRoT-13 b,1.308,0.066,0.066,0.885,0.014,0.014,4.03519,3.00E-05,3.00E-05,0.051,0.0031,0.0031,0,,,88.02,0.036,0.036,3.90E-05,2010,8/16/2014,,,,,,,,,,2454790.809,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310,0.01,1.09,1.01,G0V,1.64,5945,,
CoRoT-14 b,7.6,0.6,0.6,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0,,,79.6,0.8,0.8,2.00E-05,2010,1/24/2014,,,,2454787.67,,,,,,2454787.669,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340,0.05,1.13,1.21,F9V,4.2,6035,,
