# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
Kepler-222 b,,,,0.282,0.125,0.125,3.936981,5.00E-06,5.00E-06,0.048,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-222,287.9060975,46.937767,,,13.717,13.341,13.235,,0.15,,0.87,,,5433,,
Kepler-222 c,,,,0.414,0.185,0.185,10.08881,1.10E-05,1.10E-05,0.091,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-222,287.9060975,46.937767,,,13.717,13.341,13.235,,0.15,,0.87,,,5433,,
Kepler-222 d,,,,0.329,0.145,0.145,28.081912,6.90E-05,6.90E-05,0.18,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-222,287.9060975,46.937767,,,13.717,13.341,13.235,,0.15,,0.87,,,5433,,
Kepler-223 b,,,,0.151,0.065,0.065,7.384108,0.000159,0.000159,0.073,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-223,298.3183595,47.279495,,,14.095,13.727,13.633,,-0.211,,1.02,,,5829,,
Kepler-223 c,,,,0.178,0.078,0.078,9.848183,0.000145,0.000145,0.088,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-223,298.3183595,47.279495,,,14.095,13.727,13.633,,-0.211,,1.02,,,5829,,
Kepler-223 d,,,,0.266,0.117,0.117,14.788759,0.000108,0.000108,0.116,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-223,298.3183595,47.279495,,,14.095,13.727,13.633,,-0.211,,1.02,,,5829,,
Kepler-223 e,,,,0.214,0.093,0.093,19.721734,0.000228,0.000228,0.14,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-223,298.3183595,47.279495,,,14.095,13.727,13.633,,-0.211,,1.02,,,5829,,
Kepler-224 b,,,,0.124,0.008,0.008,3.132924,1.40E-05,1.40E-05,0.038,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-224,290.9342957,47.357601,,,14.212,13.722,13.703,,-0.309,0.74,0.68,,,5018,,
Kepler-224 c,,,,0.278,0.023,0.023,5.925003,1.00E-05,1.00E-05,0.058,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-224,290.9342957,47.357601,,,14.212,13.722,13.703,,-0.309,0.74,0.68,,,5018,,
Kepler-224 d,,,,0.205,0.012,0.012,11.349393,3.40E-05,3.40E-05,0.089,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-224,290.9342957,47.357601,,,14.212,13.722,13.703,,-0.309,0.74,0.68,,,5018,,
Kepler-224 e,,,,0.176,0.013,0.013,18.643577,8.70E-05,8.70E-05,0.124,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-224,290.9342957,47.357601,,,14.212,13.722,13.703,,-0.309,0.74,0.68,,,5018,,
