# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
11 Com b,19.4,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,0.011664,,,,,,,,,,,,,,,,,,,,1,2008,12/23/2011,94.8,1.5,1.5,2452899.6,1.6,1.6,detected by radial velocity,,11 Com,185.1791667,17.7927778,4.74,,,,,110.6,-0.35,2.7,19,G8 III,,4742
11 UMi b,10.5,2.47,2.47,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,0.012887,,,,,,,,,,,,,,,,,,,,1,2009,8/13/2009,117.63,21.06,21.06,2452861.05,2.06,2.06,detected by radial velocity,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340
14 And b,5.33,0.57,0.57,,,,185.84,0.23,0.23,0.83,,,0,,,0.010864,,,,,,,,,,,,,,,,,,,,1,2008,8/21/2012,,,,2861.4,1.5,1.5,detected by radial velocity,,14 And,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11,K0III,,4813
14 Her b,4.64,0.19,0.19,,,,1773.4,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,0.153039,,,,,,,,,,,,,,,,,,,,1,2002,10/7/2009,22.6,0.9,0.9,51372.7,3.6,3.6,detected by radial velocity,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311
16 Cyg B b,1.68,0.07,0.07,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,0.078468,,,,,,,,,,,,,,,,,,,,1,1996,12/18/2012,83.4,2.1,2.1,50539.3,1.6,1.6,detected by radial velocity,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8,5766
18 Del b,10.3,,,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,0.035568,,,,,,,,,,,,,,,,,,,,1,2008,2/20/2008,166.1,6.5,6.5,1672,18,18,detected by radial velocity,,18 Del,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979
1RXS1609 b,14,3,2,1.7,,,,,,330,0,0,,,,2.275862,,,,,,,,,,,,,,,,,,,,1,2008,12/14/2011,,,,,,,detected by imaging,H2O; CO; H2,1RXS1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145,,0.73,1.35,K7V,0.011,4060
24 Sex b,1.99,0.38,0.26,,,,452.8,4.5,4.5,1.333,0.009,0.009,0.09,0.06,0.06,0.017821,,,,,,,,,,,,,,,,,,,,1,2010,7/28/2010,9.2,165.4,165.4,2454762,172.3,172.3,detected by radial velocity,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098
24 Sex c,0.86,0.22,0.35,,,,883,14,14,2.08,0.02,0.02,0.29,0.09,0.09,0.027807,,,,,,,,,,,,,,,,,,,,1,2010,7/28/2010,220.5,320.9,320.9,2454930,96.5,96.5,detected by radial velocity,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098
2M 0103(AB) b,13,1,1,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,7/22/2013,,,,,,,detected by imaging,,2M 0103(AB),15.9,-55.2656,,,7.5,,,47.2,,0.4,,M,0.03,
2M 0122-2439 b,13,1,1,,,,,,,52,6,6,,,,,,,,,,,,,,,,,,,,,1380,,,1,2013,7/12/2013,,,,,,,detected by imaging,,2M 0122-2439,20.7125,-24.6142,,,,,,36,,0.4,,M3.5,0.12,
2M 044144 b,7.5,2.5,2.5,,,,,,,15,0.6,0.6,,,,0.107143,,,,,,,,,,,,,,,,,,,,1,2010,4/6/2010,,,,,,,detected by imaging,,2M 044144,70.4375,23.0308333,,,14.2,13.72,13.16,140,,0.02,,M8.5,0.001,
2M 0746+20 b,30,25,25,0.97,0.06,0.06,4640,25,25,2.897,0.005,0.005,0.487,0.003,0.003,0.237265,138.2,0.5,0.5,,,,,,,,,,,,,,,,,1,2010,1/20/2012,354.4,0.9,0.9,,,,detected by imaging,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,,0.12,0.089,,,2205
2M 2140+16 b,20,20,80,0.92,0.39,0.39,7340,584,584,3.53,0.15,0.15,0.26,0.06,0.06,0.1412,46.2,8.7,8.7,,,,,,,,,,,,,,,,,1,2010,1/20/2012,223,47,47,,,,detected by imaging,,2M 2140+16,325.1208333,16.4216667,,,,,,25,,0.08,0.1,,,2300
2M 2206-20 b,30,20,70,1.3,0.18,0.18,8686,69.4,69.4,4.48,0.4,0.4,0,,,0.167979,44.3,0.7,0.7,,,,,,,,,,,,,,,,,1,2010,1/20/2012,,,,,,,detected by imaging,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,,0.13,0.11,,,2350
2M1207 b,4,1,6,,,,,,,46,5,5,,,,0.877863,,,,,,,,,,,,,,,,,,,,1,2004,12/28/2010,,,,,,,detected by imaging,,2M1207,181.8875,-39.5483333,20.15,15.95,13,,,52.4,,0.025,,M8,0.008,
30 Ari B b,9.88,0.94,0.94,,,,335.1,2.5,2.5,0.995,0.012,0.012,0.289,0.092,0.092,0.025254,,,,,,,,,,,,,,,,,,,,1,2009,11/27/2009,307,18,18,2454538,20,20,detected by radial velocity,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.4,0.07,1.13,1.13,F6V,0.91,6424
4 Uma b,7.1,1.6,1.6,,,,269.3,1.96,1.96,0.87,0.04,0.04,0.432,0.024,0.024,0.011083,,,,,,,,,,,,,,,,,,,,1,2007,8/10/2012,23.81,4.42,4.42,52987.3936,4.31,4.31,detected by radial velocity,,4 Uma,130.0541667,64.3280556,5.79,,,,,78.5,-0.25,1.234,,K1III,4.604,4415
42 Dra b,3.88,0.85,0.85,,,,479.1,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,0.01223,,,,,,,,,,,,,,,,,,,,1,2009,3/23/2009,218.7,10.6,10.6,2452757.4,3.7,3.7,detected by radial velocity,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,-0.46,0.98,22.03,K1.5III,9.49,4200
47 Uma b,2.53,0.06,0.07,,,,1078,2,2,2.1,0.02,0.02,0.032,0.014,0.014,0.150322,,,,,,,,,,,,,,,,,,,,1,1996,3/10/2010,334,23,23,1917,76,76,detected by radial velocity,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892
47 Uma c,0.54,0.073,0.066,,,,2391,87,87,3.6,0.1,0.1,0.098,0.096,0.096,0.257695,,,,,,,,,,,,,,,,,,,,1,2001,3/10/2010,295,160,160,2441,825,825,detected by radial velocity,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892
47 Uma d,1.64,0.48,0.29,,,,14002,5095,5095,11.6,2.9,2.9,0.16,0.16,0.16,0.830351,,,,,,,,,,,,,,,,,,,,1,2010,3/10/2010,110,160,160,1736,5051,5051,detected by radial velocity,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892
51 Peg b,0.468,0.007,0.007,,,,4.23077,5.00E-05,5.00E-05,0.052,,,0,,,0.003537,79,30,30,,,,,,,,,,2497,0.022,0.022,,,,,1,1995,10/2/2012,0,,,,,,detected by radial velocity,,51 Peg,344.3625,20.7686111,5.49,,,,,14.7,0.2,1.11,1.266,G2 IV,4,5793
55 Cnc b,0.8,0.012,0.012,,,,14.651,0.0001,0.0001,0.1134,0.0006,0.0006,0.0159,0.008,0.008,0.009303,,,,,,,,,,,,,,,,,,,,1,1996,8/29/2012,164,,,2453035,2.2,2.2,detected by radial velocity,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc c,0.169,0.008,0.008,,,,44.3446,0.007,0.007,0.2403,0.0017,0.0017,0.053,,,0.019473,,,,,,,,,,,,,,,,,,,,1,2002,6/7/2011,57.4,11,11,2449989.339,3.3,3.3,detected by radial velocity,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc d,3.835,0.08,0.08,,,,5218,230,230,5.76,0.06,0.06,0.025,0.03,0.03,0.466775,53,6.8,6.8,,,,,,,,,,,,,,,,,1,2002,6/7/2011,181.3,32,32,2452500.6,230,230,detected by radial velocity,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc e,0.026177516,0.001227071,0.001227071,0.177536225,0.007137135,0.007137135,0.736546,3.00E-06,3.00E-06,0.0156,0.00011,0.00011,0.06,inf,nan,0.001264,81,1.7,1.7,2455568.011,0.008,0.008,,,,,,,,,,,,,,1,2004,11/5/2013,170,130,130,2449999.836,0.0001,0.0001,detected by transit,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
55 Cnc f,0.144,0.04,0.04,,,,260.7,1.1,1.1,0.781,0.006,0.006,0.0002,,,0.06329,,,,,,,,,,,,,,,,,,,,1,2007,6/7/2011,205,60,60,2450080.911,1.1,1.1,detected by radial velocity,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196
6 Lyn b,2.4,,,,,,899,19,19,2.2,,,0.134,0.052,0.052,0.038664,2,1,1,,,,,,,,,,,,,,,,,1,2008,1/11/2011,27,27,27,3309,60,60,detected by radial velocity,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,-0.13,1.7,5.2,K0IV,,4978
61 Vir b,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5.00E-06,5.00E-06,0.12,0.11,0.11,0.005892,,,,,,,,,,,,,,,,,,,,1,2009,12/15/2009,105,54,54,2453369.166,,,detected by radial velocity,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531
61 Vir c,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,0.025528,,,,,,,,,,,,,,,,,,,,1,2009,12/15/2009,341,38,38,2453369.166,,,detected by radial velocity,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531
61 Vir d,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,0.055869,,,,,,,,,,,,,,,,,,,,1,2009,12/15/2009,314,20,20,2453369.166,,,detected by radial velocity,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531
7 CMa b,2.6,0.6,0.6,,,,763,17,17,1.9,0.1,0.1,0.14,0.06,0.06,0.096203,,,,,,,,,,,,,,,,,,,,1,2011,11/7/2011,44.9,4,4,2455520,89,89,detected by radial velocity,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.21,1.52,2.3,K1 III,,4792
70 Vir b,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,0.021818,,,,,,,,,,,,,,,,,,,,1,1996,12/29/2010,2.1,2,2,2448990.403,0.5,0.5,detected by radial velocity,,70 Vir,202.1083333,13.7866667,5,,,,,22,-0.11,0.92,1.968,G4 V,7.09,5432
75 Cet b,3,,,,,,691.9,3.6,3.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,9/3/2012,,,,2452213,54,54,detected by radial velocity,,75 Cet,38.0375,-1.035,5.36,,,,,81.5,0,2.49,10.5,G3III,,4846
81 Cet b,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,0.02572,,,,,,,,,,,,,,,,,,,,1,2008,7/3/2008,175,6.9,6.9,2486,26,26,detected by radial velocity,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.2,-0.06,2.4,11,G5III,,
91 Aqr b,3.2,,,,,,181.4,0.1,0.1,0.7,,,0.027,0.026,0.026,0.006593,,,,,,,,,,,,,,,,,,,,1,2003,5/23/2013,177.3,0.8,0.8,2453472.1,24,24,detected by radial velocity,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.9,-0.03,1.4,11,K0 III,3.56,4665
AB Pic b,13.5,0.5,0.5,,,,,,,275,,,,,,5.813953,,,,,,,,,,,,,,,,,,,,1,2005,12/6/2010,,,,,,,detected by imaging,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,-0.64,,,K2 V,0.03,4875
BD +48 738 b,0.91,,,,,,392.6,5.5,5.5,1,,,0.2,0.1,0.1,,,,,,,,,,,,,,,,,,,,,2,2011,3/19/2012,358.9,31.1,31.1,44457.2,28.5,28.5,detected by radial velocity,,BD +48 738,40.7083333,49.5869444,9.14,,,,,,-0.2,0.74,11,K0III,,4414
BD+15 2940 b,1.11,,,,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,,,,,,,,,,,,,,,,,,1,2013,4/30/2013,302,33,33,2453464,16,16,detected by radial velocity,,BD+15 2940,240.0958,15.5469,9.19,,,,,585,0.28,1.1,14.7,K0,7.1,4796
BD+20 274 c,4.2,,,,,,578.2,3.4,3.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,1/17/2013,,,,2453920.5,33.2,33.2,detected by radial velocity,,BD+20 274,25.9208333,21.005,9.36,,,,,,-0.46,0.8,17.3,K5,,4296
BD-061339 b,0.027,0.004,0.004,,,,3.8728,0.0004,0.0004,0.0428,0.0007,0.0007,0,,,,,,,,,,,,,,,,,,,,,,,1,2013,1/17/2013,,,,2455220.5,0.1,0.1,detected by radial velocity,,BD-061339,88.25,-5.9947,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324
BD-061339 c,0.17,0.03,0.03,,,,125.94,0.44,0.44,0.435,0.007,0.007,0,,,,,,,,,,,,,,,,,,,,,,,1,2013,1/17/2013,,,,2455264.2,17.6,17.6,detected by radial velocity,,BD-061339,88.25,-5.9947,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324
BD-082823 b,0.045,0.007,0.007,,,,5.6,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,0.001327,,,,,,,,,,,,,,,,,,,,2,2009,12/15/2010,30,100,100,2454637.7,1.6,1.6,detected by radial velocity,,BD-082823,150.2,-9.5166667,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746
BD-082823 c,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,0.016114,,,,,,,,,,,,,,,,,,,,2,2009,12/16/2009,-233,21,21,2454193,13,13,detected by radial velocity,,BD-082823,150.2,-9.5166667,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746
BD-10 3166 b,0.48,0.03,0.03,,,,3.487,0.001,0.001,0.046,,,0.05,0.05,0.05,0.000697,,,,,,,,,,,,,,,,,,,,1,2000,12/25/2010,35,20,20,1586.8,0.06,0.06,detected by radial velocity,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66,0.5,0.99,1.71,G4 V,4.18,5400
BD-17 63 b,5.1,0.12,0.12,,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,0.038728,,,,,,,,,,,,,,,,,,,,1,2008,10/28/2008,112.2,1.9,1.9,54627.1,1.5,1.5,detected by radial velocity,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,-0.03,0.74,0.69,K5V,4.3,4714
BD14 4559 b,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,0.01554,,,,,,,,,,,,,,,,,,,,1,2009,6/10/2009,87.64,7.87,7.87,53293.71,6.35,6.35,detected by radial velocity,,BD14 4559,318.4,14.6894444,9.63,,,,,50,0.1,0.86,,K2V,,5008
BD20 2457 b,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,0.00725,,,,,,,,,,,,,,,,,,,,1,2009,6/11/2009,207.64,21.99,21.99,54677.03,28.19,28.19,detected by radial velocity,,BD20 2457,154.1875,19.8913889,9.75,,,,,200,-1,2.8,,K2II,,4127
BD20 2457 c,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,0.01005,,,,,,,,,,,,,,,,,,,,1,2009,6/10/2009,126.02,16.54,16.54,53866.95,27.99,27.99,detected by radial velocity,,BD20 2457,154.1875,19.8913889,9.75,,,,,200,-1,2.8,,K2II,,4127
CD-35 2722 b,31,8,8,,,,,,,67,4,4,,,,3.14554,,,,,,,,,,,,,,,,,,,,1,2011,2/23/2011,,,,,,,detected by imaging,,CD-35 2722,0,0,10.98,,,,,21.3,0.04,0.4,,M1V,0.1,3680
CFBDS 1458 b,6.5,4.5,4.5,,,,14600,8800,8800,2.6,0.2,0.2,,,,0.112554,,,,,,,,,,,,,,,,,,,,1,2011,9/28/2011,,,,,,,detected by imaging,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,23.1,,0.024,,T9.5,3,540
CHXR 73 b,12,5,8,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,3/8/2011,,,,,,,detected by imaging,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,0.35,,M3.25,0.002,
CT Cha b,17,6,6,2.2,0.6,0.6,,,,440,,,,,,2.666667,,,,,,,,,,,,,,,,,,,,1,2008,9/24/2008,,,,,,,detected by imaging,,CT Cha,166.0375,-76.4552778,12.36,,,,,165,,,,K7,0.002,
CoRoT-1 b,1.03,0.12,0.12,1.49,0.08,0.08,1.5089557,6.40E-06,6.40E-06,0.0254,0.0004,0.0004,0,,,5.50E-05,85.1,0.5,0.5,2454159.453,,,,,,,,,,,,,,,,3,2007,6/5/2013,,,,,,,detected by transit,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460,0.06,0.95,1.11,G0V,,6298
CoRoT-10 b,2.75,0.14,0.14,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,0.000306,88.55,0.2,0.2,54273.3436,0.0012,0.0012,,,,,,,,,,,,,,2,2010,6/5/2013,218.9,6.4,6.4,54990.85,0.08,0.08,detected by transit,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345,0.26,0.89,0.79,K1V,3,5075
CoRoT-11 b,2.33,0.27,0.27,1.43,0.033,0.033,2.994325,2.10E-05,2.10E-05,0.04351,0.00036,0.00036,0,,,7.80E-05,81.41,0.17,0.17,54597.679,0.0003,0.0003,,,,,,,,,,,,,,2,2010,6/5/2013,,,,,,,detected by transit,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560,-0.03,1.27,1.37,F6V,2,6440
CoRoT-12 b,0.917,0.065,0.07,1.44,0.13,0.13,2.828042,1.30E-05,1.30E-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,3.50E-05,85.48,0.77,0.77,4398.62707,0.00036,0.00036,,,,,,,,,,,,,,2,2010,6/5/2013,105,27,27,,,,detected by transit,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150,0.16,1.078,1.116,G2V,6.3,5675
CoRoT-13 b,1.308,0.066,0.066,0.885,0.014,0.014,4.03519,3.00E-05,3.00E-05,0.051,0.0031,0.0031,0,,,3.90E-05,88.02,0.036,0.036,4790.8091,0.0006,0.0006,,,,,,,,,,,,,,2,2010,6/5/2013,,,,,,,detected by transit,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310,0.01,1.09,1.01,G0V,1.64,5945
CoRoT-14 b,7.6,0.6,0.6,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0,,,2.00E-05,79.6,0.8,0.8,2454787.669,0.0053,0.0053,,,,,,,,,,,,,,2,2010,6/5/2013,,,,2454787.67,,,detected by transit,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340,0.05,1.13,1.21,F9V,0.6,6035
CoRoT-16 b,0.535,0.085,0.085,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,7.40E-05,85.01,1.2,1.2,2454923.914,0.0022,0.0022,,,,,,,,,,,,,,3,2010,6/5/2013,168.41,21,21,,,,detected by transit,,CoRoT-16,278.525,-6.0025,15.64,,,,,840,0.19,1.098,1.19,G5V,6.73,5650
CoRoT-17 b,2.43,0.16,0.16,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0,,,5.00E-05,88.34,1.54,1.54,2454923.309,0.003613,0.003613,,,,,,,,,,,,,,3,2010,6/5/2013,,,,,,,detected by transit,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920,0,1.04,1.59,G2V,10.7,5740
CoRoT-18 b,3.47,0.38,0.38,1.31,0.18,0.18,1.9000693,2.80E-06,2.80E-06,0.0295,0.0016,0.0016,0.08,inf,nan,3.40E-05,86.5,0.9,0.9,2455321.724,0.00018,0.00018,,,,,,,,,,,,,,2,2011,6/5/2013,,,,,,,detected by transit,,CoRoT-18,0,0,14.99,,,,,870,-0.1,0.95,1,G9V,,5440
CoRoT-19 b,1.11,0.06,0.06,1.29,0.05,0.05,3.89713,2.00E-05,2.00E-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,6.50E-05,87.61,0.37,0.37,2455257.441,0.0006,0.0006,,,,,,,,,,,,,,2,2011,6/5/2013,86,60,60,,,,detected by transit,,CoRoT-19,0,0,14.78,,,,,800,-0.02,1.21,1.65,F9V,5,6090
CoRoT-2 b,3.31,0.16,0.16,1.465,0.029,0.029,1.7429964,1.70E-06,1.70E-06,0.0281,0.0009,0.0009,0,,,9.40E-05,87.84,0.1,0.1,2454706.404,0.003,0.003,,,,,,,,,,,,,,1,2007,6/5/2013,,,,,,,detected by transit,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300,-0.04,0.97,0.902,G7V,,5575
CoRoT-20 b,4.24,0.23,0.23,0.84,0.04,0.04,9.24285,0,0,0.0902,0.0021,0.0021,0.562,0.013,0.013,7.30E-05,88.21,0.53,0.53,24455265.79,0.0014,0.0014,,,,,,,,,,,,,,2,2011,6/5/2013,56.3,2.4,2.4,,,,detected by transit,,CoRoT-20,0,0,14.66,,,,,1230,0.14,1.14,0.92,G2V,0.1,5880
CoRoT-21 b,2.26,0.31,0.31,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0,,,,86.8,2.1,2.1,2454399.028,0.0009,0.0009,,,,,,,,,,,,,,3,2011,6/5/2013,,,,,,,detected by transit,,CoRoT-21,0,0,16,,,,,,0,1.29,1.945,FIV8,4.1,6200
CoRoT-23 b,2.8,0.25,0.25,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,8.00E-05,85.7,1.5,1.5,2455308.937,0.001,0.001,,,,,,,,,,,,,,2,2011,6/5/2013,51.8,9,9,,,,detected by transit,,CoRoT-23,0,0,15.63,,,,,600,0.05,1.14,1.61,G0V,7.2,5900
CoRoT-25 b,0.27,0.04,0.04,1.08,0.3,0.1,4.86069,6.00E-05,6.00E-05,0.0578,0.002,0.0009,,,,,84.5,0.8,0.3,2454577.431,0.0008,0.0008,,,,,,,,,,,,,,2,2012,8/13/2013,,,,,,,detected by transit,,CoRoT-25,280.6292,6.5139,15,,,,,1000,-0.01,1.09,1.19,G0V,5.2,6040
CoRoT-26b,0.52,0.05,0.05,1.26,0.13,0.07,4.20474,5.00E-05,5.00E-05,0.0526,0.001,0.001,0,,,,86.8,2.2,1,2454574.681,0.0008,0.0008,,,,,,,,,,,,,,2,2012,8/13/2013,,,,,,,detected by transit,,CoRoT-26,279.75,6.97,15.76,,,,,1670,0.01,1.09,1.79,G8IV,8.6,5590
CoRoT-3 b,21.77,1,1,1.01,0.07,0.07,4.2567994,5.00E-06,5.00E-06,0.057,0.003,0.003,0,,,8.40E-05,85.9,0.8,0.8,2454283.138,0.0003,0.0003,,,,,,,,,,,,,,1,2008,7/8/2013,,,,,,,detected by transit,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680,-0.02,1.37,1.56,F3V,2,6740
CoRoT-4 b,0.72,0.08,0.08,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0,0,0,,90,0.085,0.085,2454141.364,0.00089,0.00089,,,,,,,,,,,,,,1,2008,6/5/2013,,,,,,,detected by transit,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,0.05,1.1,1.15,F8V,1,6190
CoRoT-5 b,0.467,0.024,0.067,1.33,0.047,0.047,4.0378962,1.90E-06,1.90E-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,0.000124,85.83,1.38,1.38,2454400.199,0.0002,0.0002,,,,,,,,,,,,,,3,2008,6/5/2013,-128.3,48,48,,,,detected by transit,,CoRoT-5,101.2791667,0.8152778,14,,,,,400,-0.25,1,1.186,F9V,6.9,6100
CoRoT-6 b,2.96,0.34,0.34,1.166,0.035,0.035,8.886593,4.00E-06,4.00E-06,0.0855,0.0015,0.0015,0.1,inf,nan,,89.07,0.3,0.3,2454702.256,0.0003,0.0003,,,,,,,,,,,,,,1,2009,6/5/2013,,,,2454595.614,0.0002,0.0002,detected by transit,,CoRoT-6,281.075,6.6633333,13.9,,,,,,-0.2,1.055,1.025,F9V,,6090
CoRoT-7 b,0.023345814,0.003807067,0.003807067,0.148987687,0.008029277,0.008029277,0.853585,2.40E-05,2.40E-05,0.0172,0.00029,0.00029,0,,,0.000115,80.1,0.3,0.3,2454398.077,0.0015,0.0015,,,,,,,,,,,,,,1,2009,11/5/2013,,,,,,,detected by transit,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,0.03,0.93,0.87,K0V,1.5,5313
CoRoT-7 c,0.0264,0.0028,0.0028,,,,3.698,0.003,0.003,0.046,,,0,,,0.000307,,,,,,,,,,,,,,,,,,,,1,2009,10/15/2010,,,,2454445,0.7,0.7,detected by radial velocity,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,0.03,0.93,0.87,K0V,1.5,5313
CoRoT-8 b,0.215838656,0.03398043,0.03398043,0.569186492,0.01962712,0.01962712,6.21229,3.00E-05,3.00E-05,0.063,0.001,0.001,0,,,0.000166,88.4,0.1,0.1,4238.9743,0.0004,0.0004,,,,,,,,,,,,,,1,2010,11/5/2013,,,,,,,detected by transit,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380,0.3,0.88,0.77,K1V,3,5080
CoRoT-9 b,0.84,0.07,0.07,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,0.005,0.005,0.11,0.04,0.04,0.000885,89.9,nan,inf,2454603.345,0.0001,0.0001,,,,,,,,,,,,,,1,2010,6/5/2013,37,37,37,,,,detected by transit,,CoRoT-9,280.7875,6.2041667,13.7,,,,,460,-0.01,0.99,0.94,G3V,4,5625
