# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
Kepler-30 c,2.01,0.16,0.16,1.1,0.036,0.036,60.3231,0.0002,0.0002,0.3,,,,,,,89.68,0.03,0.03,2455357.887,0.0005,0.0005,,,,,,,,,,,,,,1,2012,8/31/2012,,,,,,,detected by transit,,Kepler-30,285.2833333,38.9472222,15.5,,,,,,0.18,0.99,0.95,,,5498
Kepler-30 d,0.073,0.008,0.008,0.79,0.045,0.045,143.343,0.009,0.009,0.5,,,,,,,89.84,0.02,0.02,2455273.53,0.01,0.01,,,,,,,,,,,,,,1,2012,8/31/2012,,,,,,,detected by transit,,Kepler-30,285.2833333,38.9472222,15.5,,,,,,0.18,0.99,0.95,,,5498
Kepler-305 b,0.0356,0.0938,0.012,0.322,0.111,0.111,5.487,,,0.05856,,,,,,,,,,2455189.08,,,,,,,,,,,,,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-305,299.225,40.3431,15.8,,,,,,-0.071,0.83,0.87,,,4918
Kepler-305 c,0.0192,0.0538,0.0057,0.295,0.1,0.1,8.291,,,0.07711,,,,,,,,,,2455192.628,,,,,,,,,,,,,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-305,299.225,40.3431,15.8,,,,,,-0.071,0.83,0.87,,,4918
Kepler-307 b,0.0079,0.021,0.002,0.286,0.117,0.117,10.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-307,297.7958,40.4178,14.1,,,,,,0.158,0.78,1.03,,,5445
Kepler-307 c,0.0038,0.01,0.001,0.25,0.1,0.1,13.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-307,297.7958,40.4178,14.1,,,,,,0.158,0.78,1.03,,,5445
Kepler-31 b,6.8,,,0.38,0.07,0.07,20.8613,0.0002,0.0002,0.16,,,,,,,,,,2454992.141,0.006,0.006,,,,,,,,,,,,,,1,2012,1/30/2012,,,,,,,detected by transit,,Kepler-31,294.025,45.8530556,15.5,,,,,,-0.08,1.21,1.22,,,6340
Kepler-31 c,4.7,,,0.38,0.07,0.07,42.6318,0.0005,0.0005,0.26,,,,,,,,,,2454974.191,0.007,0.007,,,,,,,,,,,,,,1,2012,1/30/2012,,,,,,,detected by transit,,Kepler-31,294.025,45.8530556,15.5,,,,,,-0.08,1.21,1.22,,,6340
Kepler-32 b,4.1,,,0.37,0.036,0.036,5.90124,0.0001,0.0001,0.05,,,,,,,,,,2454974.902,0.008,0.008,,,,,,,,,,,,,,1,2012,1/30/2012,,,,,,,detected by transit,,Kepler-32,297.8416667,46.5741667,16,,,,,,0,0.58,0.53,,,3900
Kepler-32 c,0.5,,,0.33,0.036,0.036,8.7522,0.0003,0.0003,0.09,,,,,,,,,,2454977.378,0.013,0.013,,,,,,,,,,,,,,1,2012,1/30/2012,,,,,,,detected by transit,,Kepler-32,297.8416667,46.5741667,16,,,,,,0,0.58,0.53,,,3900
